Id,Template,Category,Page,Field,Property,Summary,Status,Notes
1,"Buy To Let Audio V14","Validation rule","Interview","Interview.DetailsofevidenceUsedtoVerifytheIdentityoftheCustomer.Other","","Validation rule the generator could not express (1 rule(s)).","",""
2,"Buy To Let Audio V14","Answer the form fills in","Completion","Completion.Section7.AgentVisitForm","","Answer the form fills in that the generator could not express.","",""
3,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant1Name","","Answer the form fills in that the generator could not express.","",""
4,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant2Name","","Answer the form fills in that the generator could not express.","",""
5,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant3Name","","Answer the form fills in that the generator could not express.","",""
6,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant4Name","","Answer the form fills in that the generator could not express.","",""
7,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant5Name","","Answer the form fills in that the generator could not express.","",""
8,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant6Name","","Answer the form fills in that the generator could not express.","",""
9,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant7Name","","Answer the form fills in that the generator could not express.","",""
10,"Buy To Let Audio V14","Answer the form fills in","Interview ","Interview.Occupants.Occupant8Name","","Answer the form fills in that the generator could not express.","",""
11,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.ContactRules.ContactOK","","Answer the form fills in that the generator could not express.","",""
12,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actAM","","Answer the form fills in that the generator could not express.","",""
13,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actEVE","","Answer the form fills in that the generator could not express.","",""
14,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.ContactRules.actPM","","Answer the form fills in that the generator could not express.","",""
15,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant1Name","","Answer the form fills in that the generator could not express.","",""
16,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant2Name","","Answer the form fills in that the generator could not express.","",""
17,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant3Name","","Answer the form fills in that the generator could not express.","",""
18,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant4Name","","Answer the form fills in that the generator could not express.","",""
19,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant5Name","","Answer the form fills in that the generator could not express.","",""
20,"Buy To Let Audio V14","Answer the form fills in","Job Sheet","JobSheet.Occupants.Tenant6Name","","Answer the form fills in that the generator could not express.","",""
21,"Buy To Let Audio V14","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation","visible","A condition the generator could not express","",""
22,"Buy To Let Audio V14","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.EstateAgent","visible","A condition the generator could not express","",""
23,"Buy To Let Audio V14","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.PriceListedFor","visible","A condition the generator could not express","",""
24,"Buy To Let Audio V14","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.TimeonMarket","visible","A condition the generator could not express","",""
